,attrition,business_travel,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,job_involvement,job_level,job_role,marital_status,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,age,job_satisfaction,monthly_income
335,no,travel_rarely,sales,1,2,medical,453,2,male,1,2, sales executive ,married,2,yes,22,4,3,3,6,2,2,4,3,0,2.0,40,4,7457.0
336,yes,travel_rarely,research & development,8,4,other,454,2,male,1,1, laboratory technician ,unknown,1,yes,11,3,4,0,7,4,2,7,7,0,7.0,29,1,2119.0
337,no,travel_rarely,research & development,9,5,other,455,2,male,2,1, laboratory technician ,single,0,no,17,3,3,0,4,2,3,3,2,2,2.0,29,4,3983.0
338,no,travel_rarely,sales,5,3,marketing,456,4,female,2,2, sales executive ,divorced,1,no,13,3,3,3,10,2,3,10,9,1,2.0,30,3,6118.0
339,no,travel_rarely,sales,8,4,marketing,458,2,female,3,2, sales executive ,married,1,no,18,3,1,1,8,3,3,8,7,0,3.0,27,2,6214.0
340,no,travel_rarely,research & development,5,2,other,460,4,male,3,2, manufacturing director ,divorced,7,no,16,3,3,2,8,2,2,6,2,0,3.0,37,4,6347.0
341,no,travel_rarely,research & development,15,2,life sciences,461,3,male,2,3, research director ,unknown,0,yes,14,3,2,1,12,0,3,11,10,2,9.0,38,4,11510.0
342,no,travel_rarely,research & development,7,4,medical,462,3,female,3,3, manufacturing director ,single,1,yes,14,3,3,0,11,2,2,11,9,4,3.0,31,4,7143.0
343,no,travel_rarely,sales,10,1,marketing,463,4,female,2,2, sales executive ,divorced,1,yes,14,3,1,2,7,2,3,7,7,1,7.0,29,2,8268.0
344,no,travel_rarely,research & development,5,4,technical degree,464,3,male,3,3, manufacturing director ,single,0,no,13,3,4,0,17,5,3,16,6,0,13.0,35,3,8095.0
345,no,travel_rarely,research & development,26,1,life sciences,465,3,male,3,1, research scientist ,divorced,1,no,12,3,3,2,4,0,2,4,2,0,2.0,23,4,2904.0
346,no,travel_rarely,research & development,6,3,medical,466,4,male,2,2, manufacturing director ,single,6,yes,15,3,4,0,8,0,3,5,4,1,2.0,41,2,6032.0
347,no,travel_frequently,sales,4,1,medical,467,2,male,3,2, sales representative ,single,3,no,19,3,1,0,5,3,3,0,0,0,0.0,47,3,2976.0
348,no,travel_rarely,unknown,23,5,life sciences,468,1,female,3,4, research director ,single,2,no,14,3,2,0,16,2,3,1,0,0,3.0,42,4,15992.0
349,no,non-travel,sales,2,3,life sciences,469,4,male,3,2, sales executive ,married,1,no,14,3,1,1,4,3,2,4,3,0,2.0,29,3,4649.0
350,no,travel_rarely,human resources,2,1,technical degree,470,3,male,3,1, human resources ,divorced,0,yes,11,3,3,1,4,5,3,3,2,1,0.0,42,3,2696.0
351,no,travel_rarely,research & development,2,3,medical,471,3,female,3,1, laboratory technician ,married,1,no,13,3,3,1,8,4,3,8,0,0,7.0,32,2,2370.0
352,no,travel_rarely,sales,29,1,medical,473,1,female,3,3, manager ,married,3,no,21,4,2,1,15,3,1,0,0,0,0.0,48,3,12504.0
353,no,travel_rarely,research & development,6,3,medical,474,3,male,4,2, research scientist ,divorced,4,yes,13,3,1,2,13,2,3,7,7,6,7.0,37,1,5974.0
354,no,non-travel,sales,25,2,technical degree,475,4,female,3,2, sales executive ,married,7,yes,12,3,2,1,4,2,4,2,2,2,2.0,30,3,4736.0
355,no,travel_rarely,sales,1,3,life sciences,476,3,male,3,2, sales executive ,married,1,no,17,3,2,1,8,3,3,8,7,7,7.0,26,3,5296.0
356,no,travel_rarely,research & development,2,4,other,477,1,male,2,2, healthcare representative ,single,3,no,23,4,2,0,14,6,3,1,0,0,0.0,42,4,6781.0
357,yes,travel_frequently,sales,1,1,technical degree,478,1,female,2,1, sales representative ,single,1,yes,11,3,3,0,3,3,3,3,2,1,2.0,21,2,2174.0
358,no,non-travel,sales,1,5,medical,479,4,female,3,2, sales executive ,single,4,no,15,3,2,0,7,6,3,1,0,0,0.0,36,4,6653.0
359,no,travel_frequently,sales,3,4,medical,481,1,male,2,3, sales executive ,unknown,4,no,11,3,1,1,16,2,3,13,9,1,12.0,36,4,9699.0
360,no,travel_rarely,research & development,1,4,medical,482,4,male,3,2, healthcare representative ,married,2,no,11,3,3,0,15,2,3,3,2,1,2.0,57,3,6755.0
361,no,travel_rarely,research & development,10,4,life sciences,483,4,female,4,1, laboratory technician ,unknown,3,no,13,3,3,1,10,3,3,7,7,1,7.0,40,3,2213.0
362,no,non-travel,sales,9,2,medical,484,1,male,3,1, sales representative ,single,1,no,24,4,3,0,3,3,2,3,2,2,2.0,21,4,2610.0
363,yes,travel_rarely,sales,5,3,marketing,485,4,female,3,1, sales representative ,single,1,yes,13,3,2,0,1,2,3,1,0,0,0.0,33,3,2851.0
364,no,travel_rarely,research & development,10,3,medical,486,3,female,3,1, laboratory technician ,married,6,no,20,4,2,1,17,3,3,5,4,0,3.0,37,1,3452.0
365,no,non-travel,research & development,7,4,other,487,3,female,3,2, manufacturing director ,married,2,no,14,3,3,0,7,2,4,1,0,0,0.0,46,3,5258.0
366,yes,travel_frequently,sales,4,3,marketing,488,1,male,3,2, sales executive ,single,1,no,18,3,3,0,8,5,3,8,7,7,7.0,41,2,9355.0
367,no,travel_rarely,research & development,10,3,technical degree,491,4,male,2,3, healthcare representative ,single,6,no,15,3,4,0,20,2,3,4,3,1,3.0,50,4,10496.0
368,yes,travel_rarely,sales,22,2,marketing,492,3,male,2,2, sales executive ,married,2,no,12,3,1,2,8,6,3,6,4,1,0.0,40,3,6380.0
369,no,travel_rarely,research & development,9,4,life sciences,493,3,male,2,1, research scientist ,single,0,yes,16,3,4,0,3,5,3,2,2,2,2.0,31,2,2657.0
370,yes,non-travel,sales,12,3,life sciences,494,3,female,4,1, sales representative ,single,1,no,15,3,4,0,1,0,3,1,0,0,0.0,21,2,2716.0
371,no,travel_rarely,research & development,23,3,life sciences,495,4,male,3,1, research scientist ,single,9,no,16,3,4,0,6,4,3,3,2,1,2.0,29,4,2201.0
372,no,travel_rarely,research & development,9,4,life sciences,496,3,male,2,2, healthcare representative ,single,9,no,19,3,3,0,10,5,3,1,1,0,0.0,35,2,6540.0
373,no,non-travel,research & development,1,2,medical,497,4,male,3,1, laboratory technician ,divorced,1,no,11,3,2,1,5,2,3,5,2,0,4.0,27,2,3816.0
374,no,travel_rarely,sales,9,4,life sciences,498,2,male,3,2, sales executive ,single,1,no,16,3,4,0,7,1,3,7,5,0,7.0,28,4,5253.0
375,no,non-travel,research & development,7,3,other,499,2,male,2,3, healthcare representative ,single,8,no,24,4,3,0,26,2,3,5,2,0,0.0,49,3,10965.0
376,no,travel_rarely,sales,14,2,life sciences,500,3,female,3,2, sales executive ,married,4,no,11,3,3,1,18,2,2,7,7,0,3.0,51,4,4936.0
377,no,travel_rarely,research & development,2,3,life sciences,501,4,female,3,1, research scientist ,married,4,no,13,3,2,1,6,3,3,2,2,2,2.0,36,3,2543.0
378,yes,non-travel,unknown,19,3,marketing,502,1,male,4,2, sales executive ,single,8,yes,13,3,2,0,9,0,2,5,2,0,4.0,34,4,5304.0
379,no,travel_rarely,research & development,2,3,life sciences,505,3,female,3,4, manager ,single,2,yes,13,3,3,0,30,2,3,5,4,1,3.0,55,4,16659.0
380,no,travel_rarely,sales,10,4,marketing,507,4,female,3,2, sales executive ,divorced,1,yes,12,3,4,1,5,2,4,5,2,0,3.0,24,3,4260.0
381,no,travel_rarely,sales,2,1,technical degree,508,3,male,3,1, sales representative ,married,1,no,18,3,1,1,1,3,3,1,0,0,0.0,30,2,2476.0
382,yes,non-travel,research & development,3,1,technical degree,510,3,male,3,1, research scientist ,single,0,no,22,4,3,0,7,2,3,6,4,0,4.0,26,1,3102.0
383,no,travel_rarely,research & development,11,3,medical,511,1,female,3,1, research scientist ,married,1,no,13,3,4,1,2,1,3,2,1,1,2.0,22,2,2244.0
384,no,travel_rarely,sales,2,2,medical,513,2,male,2,3, sales executive ,married,1,no,13,3,2,2,10,2,3,10,9,9,3.0,36,3,7596.0
385,yes,travel_frequently,research & development,4,3,technical degree,514,3,male,3,1, research scientist ,single,9,yes,23,4,3,0,3,4,3,1,0,0,0.0,30,4,2285.0
386,no,travel_rarely,research & development,14,3,life sciences,515,4,female,3,1, laboratory technician ,divorced,1,no,12,3,3,1,18,2,2,18,7,12,17.0,37,1,3034.0
387,no,non-travel,sales,2,2,marketing,516,4,female,3,2, sales executive ,divorced,7,no,12,3,3,2,8,5,3,5,4,1,3.0,40,2,5715.0
388,no,travel_rarely,research & development,1,4,life sciences,517,2,female,3,1, laboratory technician ,divorced,3,no,16,3,2,1,8,5,3,5,2,1,2.0,42,1,2576.0
389,no,travel_rarely,research & development,10,4,life sciences,518,3,male,3,2, manufacturing director ,single,2,yes,12,3,4,0,18,2,2,1,0,0,1.0,37,2,4197.0
390,no,travel_rarely,research & development,12,3,life sciences,520,1,male,2,4, research director ,divorced,1,no,11,3,3,1,25,3,3,25,10,3,3.0,43,2,14336.0
391,no,travel_rarely,research & development,2,3,medical,521,2,female,2,2, laboratory technician ,married,6,no,22,4,2,1,20,3,3,1,0,0,0.0,40,3,3448.0
392,no,travel_rarely,research & development,5,2,medical,522,1,male,3,5, research director ,married,4,no,11,3,3,1,24,4,2,4,2,1,2.0,54,1,19406.0
393,no,non-travel,sales,4,4,marketing,523,3,female,3,2, sales executive ,married,9,no,15,3,1,1,6,3,3,3,2,1,2.0,34,3,6538.0
394,no,travel_rarely,research & development,7,2,medical,524,2,female,3,2, manufacturing director ,married,1,no,12,3,2,1,13,5,1,13,10,3,12.0,31,1,4306.0
395,no,travel_frequently,research & development,21,3,medical,525,4,male,3,1, laboratory technician ,married,7,no,20,4,1,1,8,1,3,3,2,1,2.0,43,4,2258.0
396,no,travel_rarely,research & development,8,4,other,526,3,female,3,2, healthcare representative ,divorced,4,yes,14,3,4,0,8,3,3,5,2,0,2.0,43,3,4522.0
397,no,travel_rarely,sales,4,2,life sciences,527,2,female,2,2, sales executive ,single,1,yes,11,3,2,0,5,3,3,5,4,1,3.0,38,4,4487.0
398,no,non-travel,research & development,25,5,medical,529,2,female,3,2, research scientist ,married,3,yes,15,3,1,2,15,2,3,13,11,10,7.0,37,3,4449.0
399,no,non-travel,research & development,1,2,life sciences,530,4,male,2,1, laboratory technician ,married,1,no,12,3,3,1,4,3,3,4,2,3,2.0,31,1,2218.0
400,no,travel_frequently,research & development,1,1,life sciences,531,2,male,3,5, manager ,unknown,1,yes,14,3,3,1,21,0,3,21,8,1,6.0,39,3,19197.0
401,no,travel_frequently,sales,6,3,life sciences,532,3,female,4,4, sales executive ,married,9,no,11,3,4,3,36,0,2,7,7,7,3.0,56,1,13212.0
402,no,travel_rarely,sales,12,3,technical degree,533,2,female,3,2, sales executive ,single,0,no,11,3,2,0,6,6,3,5,4,4,4.0,30,3,6577.0
403,no,travel_rarely,sales,1,3,marketing,534,2,male,4,3, sales executive ,married,1,no,16,3,3,1,10,2,3,10,7,0,7.0,41,1,8392.0
404,no,travel_rarely,research & development,17,2,medical,536,3,male,3,2, laboratory technician ,divorced,1,no,12,3,4,1,10,2,3,10,0,1,8.0,28,1,4558.0
405,yes,travel_rarely,research & development,3,3,medical,538,1,male,3,1, laboratory technician ,married,5,no,13,3,3,1,6,5,3,2,2,0,2.0,25,1,4031.0
406,no,travel_rarely,research & development,3,3,medical,543,4,male,2,3, manufacturing director ,unknown,2,yes,14,3,3,0,28,4,3,5,4,0,4.0,52,3,7969.0
407,no,travel_rarely,research & development,10,2,life sciences,544,1,male,3,1, research scientist ,married,3,no,21,4,4,2,8,3,2,2,2,0,2.0,45,4,2654.0
408,no,travel_rarely,research & development,4,2,other,546,4,female,3,4, manager ,married,2,no,13,3,4,0,31,2,1,5,2,1,4.0,52,4,16555.0
409,no,travel_frequently,research & development,29,2,life sciences,547,1,female,3,2, research scientist ,divorced,2,no,11,3,2,1,19,3,3,5,4,0,2.0,42,3,4556.0
410,no,travel_rarely,unknown,2,3,life sciences,548,3,female,1,2, manufacturing director ,single,2,no,20,4,3,0,11,2,3,5,4,0,2.0,30,4,6091.0
411,no,travel_rarely,research & development,7,3,life sciences,549,1,female,3,5, manager ,married,5,no,11,3,4,0,33,5,1,29,8,11,10.0,60,1,19566.0
412,no,travel_rarely,research & development,18,3,medical,550,3,female,3,2, manufacturing director ,divorced,2,no,14,3,3,1,19,5,2,10,7,0,8.0,46,3,4810.0
413,no,travel_frequently,research & development,28,4,technical degree,551,4,female,2,2, healthcare representative ,married,0,no,11,3,4,3,7,4,4,6,5,0,4.0,42,2,4523.0
414,yes,travel_rarely,sales,1,1,technical degree,554,1,female,3,1, sales representative ,single,1,yes,16,3,2,0,6,4,3,5,3,1,4.0,24,2,3202.0
415,yes,travel_frequently,sales,6,2,marketing,555,4,female,1,1, sales representative ,divorced,0,no,16,3,4,1,3,3,2,2,2,1,3.0,34,3,2351.0
416,no,travel_frequently,research & development,2,2,life sciences,556,4,male,3,1, laboratory technician ,married,1,yes,23,4,3,1,1,3,3,1,0,0,0.0,38,4,1702.0
417,no,travel_rarely,sales,2,4,life sciences,558,3,female,3,5, manager ,married,0,no,14,3,4,0,21,2,3,20,15,1,3.0,40,3,18041.0
418,no,travel_rarely,research & development,23,3,life sciences,560,1,female,3,1, research scientist ,divorced,1,no,22,4,2,2,3,3,1,3,2,0,2.0,26,4,2886.0
419,no,non-travel,research & development,3,3,other,562,3,male,3,1, laboratory technician ,married,4,no,15,3,3,1,9,3,1,5,3,1,4.0,30,4,2097.0
420,no,travel_rarely,research & development,3,4,medical,564,2,male,2,3, research director ,married,1,no,18,3,3,0,10,2,3,10,2,0,7.0,29,3,11935.0
421,yes,non-travel,research & development,25,5,technical degree,565,3,female,2,1, research scientist ,married,5,no,16,3,2,0,6,2,4,2,2,1,1.0,29,2,2546.0
422,yes,travel_rarely,human resources,2,2,technical degree,566,1,male,2,1, human resources ,single,1,no,12,3,3,0,1,3,4,1,0,0,0.0,19,4,2564.0
423,no,non-travel,sales,22,4,other,567,3,female,3,3, sales executive ,married,0,no,11,3,3,0,10,3,3,9,8,7,8.0,30,1,8412.0
424,no,travel_rarely,sales,29,3,marketing,568,1,male,2,4, manager ,divorced,3,no,12,3,3,1,32,3,2,1,0,0,3.0,57,4,14118.0
425,no,travel_rarely,research & development,29,4,life sciences,569,2,male,2,4, manager ,married,0,no,15,3,2,1,28,2,3,27,10,15,7.0,50,3,17046.0
426,no,non-travel,research & development,2,3,medical,571,3,female,3,1, laboratory technician ,single,0,no,14,3,3,0,12,2,2,11,7,6,7.0,30,4,2564.0
427,no,travel_frequently,sales,28,3,other,573,3,female,2,3, sales executive ,married,4,no,19,3,4,0,22,5,4,18,13,13,11.0,60,1,10266.0
428,no,travel_rarely,research & development,2,2,medical,574,1,female,3,2, manufacturing director ,divorced,5,no,13,3,3,3,20,2,3,5,0,0,4.0,47,4,5070.0
429,no,travel_rarely,research & development,2,3,life sciences,575,1,male,3,4, research director ,married,6,no,13,3,3,0,26,2,1,3,2,0,1.0,46,3,17861.0
430,no,travel_rarely,research & development,22,3,life sciences,577,4,male,1,1, laboratory technician ,single,0,no,15,3,3,0,6,2,3,5,4,4,3.0,35,3,4230.0
431,no,travel_rarely,research & development,8,4,life sciences,578,3,female,3,2, laboratory technician ,single,7,no,11,3,3,0,19,3,3,1,0,0,0.0,54,3,3780.0
432,no,travel_rarely,research & development,2,4,life sciences,579,4,male,2,1, research scientist ,divorced,3,no,12,3,3,1,14,3,3,7,3,5,7.0,34,3,2768.0
433,no,travel_rarely,sales,10,3,marketing,580,3,female,2,3, sales executive ,married,2,yes,19,3,3,1,15,3,3,3,2,1,2.0,46,4,9071.0
434,no,travel_rarely,research & development,9,1,life sciences,581,3,male,3,3, manufacturing director ,divorced,1,no,25,4,4,1,13,6,4,13,8,0,8.0,31,2,10648.0
435,yes,travel_rarely,research & development,15,1,medical,582,2,male,3,3, manager ,married,7,yes,12,3,4,0,15,2,4,7,6,7,7.0,33,3,13610.0
436,yes,travel_rarely,research & development,10,1,medical,584,1,male,1,1, laboratory technician ,divorced,7,no,13,3,1,3,8,2,3,4,3,1,3.0,33,4,3408.0
437,no,travel_rarely,sales,7,1,marketing,585,4,male,3,1, sales representative ,single,0,no,14,3,1,0,4,3,3,3,2,1,2.0,30,2,2983.0
438,no,non-travel,research & development,16,3,life sciences,586,4,male,3,3, healthcare representative ,married,4,yes,12,3,3,0,10,0,3,8,7,0,0.0,35,3,7632.0
439,yes,travel_frequently,research & development,20,3,life sciences,587,1,male,3,3, healthcare representative ,married,3,no,12,3,1,0,12,2,3,1,0,0,0.0,31,3,9824.0
440,yes,travel_frequently,human resources,23,3,human resources,590,2,female,3,3, human resources ,divorced,9,yes,15,3,3,3,11,2,3,3,2,0,2.0,34,1,9950.0
441,no,non-travel,research & development,5,2,other,591,2,male,3,1, laboratory technician ,married,4,no,17,3,4,1,8,4,3,2,2,2,0.0,42,3,2093.0
442,no,non-travel,sales,10,4,medical,592,2,male,3,3, sales executive ,single,1,no,14,3,4,0,10,3,2,10,3,9,7.0,36,4,9980.0
443,yes,travel_frequently,research & development,4,1,technical degree,593,3,male,2,1, laboratory technician ,single,5,no,16,3,3,0,4,3,3,2,2,1,2.0,22,3,3894.0
444,no,travel_rarely,sales,2,5,marketing,595,2,female,3,2, sales executive ,married,2,no,14,3,1,1,14,0,3,9,7,6,7.0,48,4,4051.0
445,no,travel_rarely,sales,18,5,life sciences,597,1,female,3,4, manager ,single,3,no,23,4,4,0,37,2,3,10,9,7,7.0,55,2,16835.0
446,no,non-travel,sales,10,2,other,599,4,male,3,2, sales executive ,unknown,7,no,14,3,4,0,16,3,3,14,3,1,10.0,41,4,6230.0
447,no,travel_rarely,sales,1,3,marketing,600,2,male,3,2, sales executive ,married,9,no,11,3,3,0,15,2,3,11,9,6,9.0,35,3,4717.0
448,no,travel_rarely,research & development,6,3,life sciences,601,2,female,3,4, manufacturing director ,single,7,no,15,3,3,0,22,3,3,20,6,5,13.0,40,3,13237.0
449,no,travel_frequently,research & development,8,1,life sciences,602,3,female,3,1, laboratory technician ,married,1,no,11,3,1,1,8,0,3,8,3,0,7.0,39,3,3755.0
450,no,travel_rarely,sales,2,1,life sciences,604,2,male,3,2, sales executive ,single,4,yes,13,3,3,0,10,2,4,6,5,0,3.0,31,4,6582.0
451,no,travel_rarely,research & development,24,3,medical,605,4,male,3,3, manufacturing director ,married,1,yes,21,4,4,1,10,5,2,10,9,5,8.0,42,1,7406.0
452,no,travel_rarely,sales,2,3,other,606,4,male,3,2, sales executive ,unknown,0,no,19,3,2,1,9,3,4,8,7,3,7.0,45,2,4805.0
453,yes,travel_frequently,human resources,17,4,life sciences,608,2,female,3,1, human resources ,divorced,0,yes,11,3,2,1,8,0,2,7,7,1,0.0,26,3,2741.0
454,no,travel_rarely,unknown,19,3,technical degree,611,4,male,3,2, manufacturing director ,divorced,4,no,12,3,2,2,8,2,4,3,2,1,3.0,29,4,4262.0
455,no,travel_rarely,research & development,1,5,medical,612,1,female,4,4, research director ,divorced,4,no,19,3,3,1,10,2,3,6,1,0,5.0,33,3,16184.0
456,no,travel_rarely,sales,7,3,life sciences,613,3,male,2,3, manager ,divorced,9,no,21,4,3,1,10,3,2,5,4,0,1.0,31,4,11557.0
457,yes,travel_frequently,sales,5,3,marketing,614,2,male,3,1, sales representative ,single,1,yes,14,3,4,0,0,3,3,0,0,0,0.0,18,2,1878.0
458,no,non-travel,sales,28,3,other,615,3,male,1,3, sales executive ,divorced,3,no,15,3,3,1,20,2,3,1,0,0,1.0,40,1,10932.0
459,no,non-travel,research & development,2,4,other,616,1,female,2,2, healthcare representative ,unknown,2,yes,17,3,1,0,10,3,3,8,7,0,3.0,41,2,6811.0
460,no,non-travel,sales,29,2,medical,618,1,male,3,2, sales executive ,divorced,5,no,12,3,1,2,8,5,3,0,0,0,0.0,26,3,4306.0
461,no,travel_rarely,sales,1,3,medical,620,1,female,3,2, sales executive ,single,1,no,16,3,4,0,5,3,3,5,4,0,3.0,35,3,4859.0
462,no,travel_rarely,sales,21,4,life sciences,621,4,male,4,2, sales executive ,single,1,no,12,3,4,0,10,3,3,10,7,5,7.0,34,4,5337.0
463,yes,travel_rarely,research & development,24,3,technical degree,622,3,male,1,1, laboratory technician ,single,1,yes,18,3,2,0,1,3,1,1,0,0,0.0,26,4,2340.0
464,no,travel_rarely,research & development,1,3,technical degree,623,2,female,3,3, manufacturing director ,single,4,no,17,3,4,0,12,3,4,6,5,1,2.0,37,4,7491.0
465,no,travel_frequently,research & development,18,1,medical,624,1,female,3,3, healthcare representative ,married,5,no,11,3,4,0,28,3,2,2,2,1,2.0,46,3,10527.0
466,no,travel_rarely,sales,2,5,life sciences,625,2,female,3,4, manager ,married,7,no,16,3,2,1,22,2,3,18,16,11,8.0,41,1,16595.0
467,no,non-travel,sales,9,4,medical,626,1,male,3,3, sales executive ,divorced,1,no,13,3,4,1,9,6,3,9,5,7,7.0,37,2,8834.0
468,no,travel_rarely,research & development,6,2,technical degree,630,4,male,3,2, research scientist ,divorced,3,yes,12,3,2,2,18,3,3,10,9,6,9.0,52,1,5577.0
469,yes,non-travel,unknown,11,4,other,631,4,male,4,2, sales executive ,married,8,no,12,3,4,0,6,2,3,4,2,1,2.0,32,3,4707.0
470,no,travel_frequently,sales,24,3,medical,632,4,male,3,1, sales representative ,married,0,no,13,3,3,2,3,3,3,2,2,2,1.0,24,4,2400.0
471,no,travel_rarely,research & development,10,3,medical,634,3,female,3,2, healthcare representative ,married,3,no,19,3,3,1,18,4,3,1,0,0,0.0,38,3,9824.0
472,no,travel_rarely,research & development,1,4,life sciences,635,2,female,3,2, manufacturing director ,married,6,no,12,3,2,1,8,2,2,6,5,4,3.0,37,2,6447.0
473,no,travel_rarely,research & development,18,4,life sciences,638,4,male,2,5, research director ,divorced,1,yes,17,3,3,1,31,5,3,31,9,0,9.0,49,3,19502.0
474,no,travel_rarely,research & development,23,3,medical,639,2,male,4,1, research scientist ,married,1,yes,11,3,2,2,6,3,3,6,5,1,4.0,24,4,2725.0
475,no,travel_rarely,sales,28,2,marketing,641,1,male,3,2, sales executive ,married,1,no,20,4,4,2,6,5,4,5,3,1,4.0,26,2,6272.0
476,no,non-travel,research & development,17,2,other,643,4,male,2,1, laboratory technician ,married,1,no,21,4,4,1,1,0,3,1,0,0,0.0,34,2,2127.0
477,no,travel_frequently,human resources,3,3,medical,644,1,male,3,5, manager ,married,1,no,11,3,3,1,32,0,3,32,5,10,7.0,50,2,18200.0
478,no,travel_rarely,sales,13,1,medical,645,2,male,3,1, sales representative ,married,1,no,11,3,3,0,7,1,3,7,4,0,6.0,25,3,2096.0
479,yes,travel_frequently,research & development,7,3,life sciences,647,1,female,3,1, laboratory technician ,married,1,yes,16,3,4,1,6,4,3,6,3,1,2.0,24,3,2886.0
480,yes,travel_frequently,sales,12,4,life sciences,648,2,male,2,1, sales representative ,married,1,no,18,3,3,1,1,2,4,1,0,0,0.0,30,1,2033.0
481,no,non-travel,research & development,1,2,life sciences,649,2,male,2,1, research scientist ,married,1,yes,13,3,4,1,6,3,3,6,5,1,3.0,34,4,3622.0
482,yes,non-travel,sales,13,4,medical,650,2,male,3,2, sales executive ,divorced,2,no,17,3,3,0,9,2,1,3,1,1,2.0,31,1,4233.0
483,no,travel_rarely,research & development,25,2,other,652,1,male,2,2, laboratory technician ,single,4,no,14,3,4,0,9,3,3,3,2,0,2.0,35,4,3681.0
484,no,travel_rarely,sales,6,4,medical,653,1,male,4,2, sales executive ,divorced,4,no,22,4,4,2,13,4,4,7,7,5,7.0,31,4,5460.0
485,no,travel_rarely,research & development,6,4,medical,655,1,female,2,1, research scientist ,divorced,0,no,12,3,3,2,6,5,2,5,3,0,3.0,27,3,2187.0
486,no,travel_rarely,sales,2,3,marketing,656,4,male,3,2, sales executive ,married,4,yes,11,3,3,1,17,3,2,3,0,1,0.0,37,3,9602.0
487,no,travel_rarely,research & development,1,3,life sciences,657,4,female,2,1, research scientist ,single,1,no,13,3,4,0,1,0,4,1,0,0,0.0,20,2,2836.0
488,no,travel_rarely,research & development,2,4,life sciences,659,3,female,3,2, healthcare representative ,married,1,no,13,3,2,2,10,4,3,10,2,2,2.0,42,4,4089.0
489,no,travel_rarely,research & development,6,4,other,661,2,male,2,4, research director ,divorced,4,yes,14,3,3,1,21,0,2,1,0,0,0.0,43,4,16627.0
490,no,travel_rarely,research & development,1,1,life sciences,662,3,female,3,1, research scientist ,unknown,3,no,17,3,4,0,8,3,2,0,0,0,0.0,38,1,2619.0
491,no,travel_frequently,research & development,9,5,medical,663,4,male,3,2, laboratory technician ,divorced,3,yes,13,3,2,1,10,3,3,8,7,4,7.0,43,3,5679.0
492,no,travel_rarely,research & development,1,4,life sciences,664,4,female,2,4, manager ,married,7,no,11,3,1,1,21,3,1,3,2,0,2.0,48,1,15402.0
493,no,travel_rarely,human resources,1,4,life sciences,665,1,female,2,2, human resources ,single,4,no,11,3,2,0,10,1,4,2,2,0,2.0,44,3,5985.0
494,no,travel_rarely,sales,14,3,technical degree,666,3,female,3,1, sales representative ,divorced,1,yes,18,3,4,2,8,3,3,8,2,0,6.0,34,3,2579.0
495,yes,travel_rarely,sales,2,1,marketing,667,3,male,3,1, sales representative ,divorced,0,no,11,3,2,1,5,3,3,4,3,0,2.0,27,1,3041.0
496,no,travel_rarely,sales,22,1,technical degree,669,3,male,3,1, sales representative ,single,1,no,11,3,3,0,3,2,3,3,2,1,2.0,21,3,3447.0
497,no,travel_rarely,research & development,3,4,other,671,4,male,3,5, manager ,married,4,yes,12,3,1,1,26,2,4,2,2,0,1.0,44,4,19513.0
498,no,travel_rarely,research & development,6,1,medical,675,1,male,3,1, research scientist ,unknown,0,no,20,4,4,0,3,3,3,2,2,2,2.0,22,3,2773.0
499,no,travel_rarely,sales,8,4,marketing,677,3,male,3,2, sales executive ,unknown,0,no,12,3,4,0,6,3,3,5,0,1,2.0,33,3,7104.0
500,no,travel_rarely,research & development,9,4,life sciences,679,1,female,3,2, research scientist ,married,1,yes,12,3,4,1,6,2,2,6,4,0,5.0,32,4,6322.0
501,no,travel_frequently,research & development,3,3,medical,680,3,female,3,1, research scientist ,divorced,1,no,20,4,3,1,1,2,3,1,0,0,0.0,30,3,2083.0
502,no,travel_rarely,sales,1,1,medical,682,4,female,3,2, sales executive ,single,7,no,20,4,4,0,18,2,4,14,7,8,10.0,53,1,8381.0
503,no,travel_rarely,research & development,1,5,life sciences,683,2,male,3,1, research scientist ,married,1,no,12,3,4,1,10,0,2,10,9,8,8.0,34,4,2691.0
504,yes,travel_frequently,sales,26,4,life sciences,684,1,female,3,2, sales executive ,married,2,no,14,3,4,2,5,4,3,1,1,0,0.0,45,1,4286.0
505,no,travel_rarely,research & development,6,3,life sciences,686,3,female,3,1, laboratory technician ,married,1,yes,13,3,3,1,3,2,3,3,2,0,2.0,26,4,2659.0
506,no,travel_rarely,research & development,3,3,other,689,3,male,3,3, manufacturing director ,married,1,no,15,3,3,1,10,2,3,10,7,7,8.0,37,3,9434.0
507,no,non-travel,sales,3,2,medical,690,2,female,3,2, sales executive ,married,1,no,14,3,1,1,6,5,2,6,0,1,2.0,29,3,5561.0
508,no,travel_rarely,research & development,6,4,life sciences,691,2,male,1,2, research scientist ,single,1,no,13,3,2,0,17,3,3,17,11,11,8.0,35,4,6646.0
509,no,travel_frequently,research & development,6,3,life sciences,692,3,male,3,2, healthcare representative ,divorced,3,no,23,4,3,1,15,2,1,13,11,4,7.0,33,4,7725.0
